id;destination;inclusions;exclusions
1;real-time;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;Peso Optimization;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;Monetary invoice Fantastic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;regional Handcrafted scale;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;Dam;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;Bahamian;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;Factors Berkshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;Tennessee Borders Handcrafted;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;frictionless Brand;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;indigo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
