id;days;nights;destination;tour_code;date;hotel;room_type;number_of_guest
1;7874;63851;COM;sensor;2022-03-27;Trinidad Dollar;Mount Colombia;99725
2;86333;94553;Sleek;Books recontextualize Infrastructure;2022-03-27;up paradigm navigate;Infrastructure engine;46186
3;19564;74737;withdrawal Sports database;Assistant solutions;2022-03-27;program online;Berkshire;89879
4;84209;90486;background Open-source mission-critical;bleeding-edge bypassing;2022-03-28;Louisiana;Beauty multi-byte sensor;99373
5;25522;72998;Operative;invoice;2022-03-27;Fresh;Awesome JBOD functionalities;48604
6;46088;79466;Architect pricing Card;withdrawal aggregate dot-com;2022-03-28;Berkshire Ecuador;Forward Avon;40367
7;70882;98611;synthesizing;platforms Martinique;2022-03-27;copying e-business Czech;multi-byte Steel niches;4595
8;89675;35202;invoice initiative;wireless Plastic;2022-03-27;Specialist Wooden Alaska;Usability Games Square;99441
9;45206;26143;Computers Consultant;Keyboard Coordinator;2022-03-28;Lead Buckinghamshire Washington;RSS Uganda experiences;48084
10;92891;4039;Plaza;repurpose e-commerce Spur;2022-03-27;wireless full-range;Clothing Tunisia;46970
